// AR6000 Rx gain table 2GHz
// 
// 1 - Desired gain
// 2 - Lna On (rf_LNAon)
// 3 - Lna gain (rf_lnagain)
// 4 - RF VGA gain (rf_rfvgagain) 
// 5 - Mix gain (rf_mixgain) 
// 6 - bb gain (rf_bbgain) 
// 7 - bbf gain (rf_bbfgain)
88, 1, 1, 3, 1, 6, 5,
87, 1, 1, 3, 1, 6, 4,
86, 1, 1, 3, 1, 6, 3,
85, 1, 1, 3, 1, 6, 2,
84, 1, 1, 3, 1, 6, 1,
83, 1, 1, 3, 1, 6, 0,
82, 1, 1, 3, 1, 5, 5,
81, 1, 1, 3, 1, 5, 4,
80, 1, 1, 3, 1, 5, 3,
79, 1, 1, 3, 1, 5, 2,
78, 1, 1, 3, 1, 5, 1,
77, 1, 1, 3, 1, 5, 0,
76, 1, 1, 3, 1, 4, 5,
75, 1, 1, 3, 1, 4, 4,
74, 1, 1, 3, 1, 4, 3,
73, 1, 1, 3, 1, 4, 2,
72, 1, 1, 3, 1, 4, 1,
71, 1, 1, 3, 1, 4, 0,
70, 1, 1, 3, 1, 3, 5,
69, 1, 1, 3, 1, 3, 4,
68, 1, 1, 3, 1, 3, 3,
67, 1, 1, 3, 1, 3, 2,
66, 1, 1, 3, 1, 3, 1,
65, 1, 1, 3, 1, 3, 0,
64, 1, 1, 3, 1, 2, 5,
63, 1, 1, 3, 1, 2, 4,
62, 1, 1, 3, 1, 2, 3,
61, 1, 1, 3, 1, 2, 2,
60, 1, 1, 3, 1, 2, 1,
59, 1, 1, 3, 1, 2, 0,
58, 1, 1, 3, 1, 1, 5,
57, 1, 1, 3, 1, 1, 4,
56, 1, 1, 3, 1, 1, 3,
55, 1, 1, 3, 1, 1, 2,
54, 1, 1, 3, 1, 1, 1,
53, 1, 1, 3, 1, 1, 0,
52, 1, 1, 3, 1, 0, 5,
51, 1, 1, 3, 1, 0, 4,
50, 1, 1, 3, 1, 0, 3,
49, 1, 1, 3, 1, 0, 2,
48, 1, 1, 3, 1, 0, 1,
47, 1, 1, 3, 1, 0, 0,
46, 1, 1, 3, 0, 0, 4,
45, 1, 1, 3, 0, 0, 3,
44, 1, 1, 3, 0, 0, 2,
43, 1, 1, 3, 0, 0, 1,
42, 1, 1, 3, 0, 0, 0,
41, 1, 1, 2, 1, 0, 4,
40, 1, 1, 2, 1, 0, 3,
39, 1, 1, 2, 1, 0, 2,
38, 1, 1, 2, 1, 0, 1,
37, 1, 1, 2, 1, 0, 0,
36, 1, 1, 2, 0, 0, 4,
35, 1, 1, 2, 0, 0, 3,
34, 1, 1, 2, 0, 0, 2,
33, 1, 1, 2, 0, 0, 1,
32, 1, 1, 2, 0, 0, 0,
31, 1, 1, 1, 1, 0, 4,
30, 1, 1, 1, 1, 0, 3,
29, 1, 1, 1, 1, 0, 2,
28, 1, 1, 1, 1, 0, 1,
27, 1, 1, 1, 1, 0, 0,
26, 1, 1, 1, 0, 0, 4,
25, 1, 1, 1, 0, 0, 3,
24, 1, 1, 1, 0, 0, 2,
23, 1, 1, 1, 0, 0, 1,
22, 1, 1, 1, 0, 0, 0,
21, 1, 1, 0, 1, 0, 4,
20, 1, 1, 0, 1, 0, 3,
19, 1, 1, 0, 1, 0, 2,
18, 1, 1, 0, 1, 0, 1,
17, 1, 1, 0, 1, 0, 0,
16, 1, 1, 0, 0, 0, 4,
15, 1, 1, 0, 0, 0, 3,
14, 1, 1, 0, 0, 0, 2,
13, 1, 1, 0, 0, 0, 1,
12, 1, 1, 0, 0, 0, 0,
11, 0, 0, 3, 0, 0, 4,
10, 0, 0, 3, 0, 0, 3,
9, 0, 0, 3, 0, 0, 2,
8, 0, 0, 3, 0, 0, 1,
7, 0, 0, 3, 0, 0, 0,
6, 1, 0, 0, 0, 0, 4,
5, 1, 0, 0, 0, 0, 3,
4, 1, 0, 0, 0, 0, 2,
3, 1, 0, 0, 0, 0, 1,
2, 1, 0, 0, 0, 0, 0,
1, 0, 0, 2, 0, 0, 4,
0, 0, 0, 2, 0, 0, 3,
-1, 0, 0, 2, 0, 0, 2,
-2, 0, 0, 2, 0, 0, 1,
-3, 0, 0, 2, 0, 0, 0,
-4, 0, 0, 1, 1, 0, 4,
-5, 0, 0, 1, 1, 0, 3,
-6, 0, 0, 1, 1, 0, 2,
-7, 0, 0, 1, 1, 0, 1,
-8, 0, 0, 1, 1, 0, 0,
-9, 0, 0, 1, 0, 0, 4,
-10, 0, 0, 1, 0, 0, 3,
-11, 0, 0, 1, 0, 0, 2,
-12, 0, 0, 1, 0, 0, 1,
-13, 0, 0, 1, 0, 0, 0,
-14, 0, 0, 0, 1, 0, 4,
-15, 0, 0, 0, 1, 0, 3,
-16, 0, 0, 0, 1, 0, 2,
-17, 0, 0, 0, 1, 0, 1,
-18, 0, 0, 0, 1, 0, 0,
-19, 0, 0, 0, 0, 0, 4,
